gene	baseMean	estimate	stderror	statistic	p.value	p.adjusted
CNAG_06440	269.15391604022165	-1.2519073768793094	0.36546542091048745	-3.425515261499763	6.136344587058935e-4	0.015519456571300546
CNAG_06657	164.12097756860507	-1.250944692435785	0.36271269089723535	-3.4488583494041727	5.629619369202941e-4	0.014789751970719973
CNAG_03569	68.57580790262683	-1.2493327847128282	0.3624749465882448	-3.446673477634894	5.675340630573771e-4	0.014852300692675298
CNAG_00419	238.89171399932061	-1.2482771763282672	0.3923000757050265	-3.1819447755265196	0.0014628970966606425	0.028740627597582127
CNAG_05229	1853.180402685345	-1.2302003201358194	0.31196550592186256	-3.9433857166373563	8.033928467753378e-5	0.003416763773496716
CNAG_07896	13.593676496768017	-1.2015231517244873	0.365787501282856	-3.284757263467496	0.0010207026654554749	0.022410569196205005
CNAG_06276	193.0027100637043	-1.180551949604326	0.3322898879595816	-3.5527772357247405	3.811871153241072e-4	0.010869736805792292
CNAG_03906	38.00458910813184	-1.1801325840097259	0.24425832396707312	-4.831493825237301	1.3551242220448433e-6	1.3507399966205806e-4
CNAG_00126	432.24291599241735	-1.1766800052442803	0.1907512510031137	-6.16866206148799	6.887024030250001e-10	1.7288981065568334e-7
CNAG_04866	167.59968934328086	-1.1486640483951611	0.2845041937135165	-4.037423959914688	5.404135311361834e-5	0.002566246232318828
CNAG_06493	494.22323264699503	-1.0850885176125082	0.2640397613920987	-4.1095648317949856	3.964054161421234e-5	0.0019688112425096196
CNAG_06658	458.3539645423482	-1.0771449291429083	0.31684428849404256	-3.3996034274834694	6.748365190262396e-4	0.01669358367138632
CNAG_03727	637.4306118319331	-1.0612519061872512	0.22924178875542073	-4.629399866180186	3.667270077607027e-6	2.8570984581632674e-4
CNAG_03835	950.347839374479	-1.035953468005381	0.21396149026705083	-4.841775343368477	1.2868420498352618e-6	1.3018231960870754e-4
CNAG_00251	56.500325365764425	-1.0324515033797528	0.20453760966572068	-5.047734277657327	4.47080370269617e-7	5.224673706357697e-5
CNAG_00697	258.63477415832335	-1.012040331964308	0.2618574376988404	-3.864852344305933	1.1115642293636104e-4	0.00423268671158795
