gene	baseMean	estimate	stderror	statistic	p.value	p.adjusted	minus_log10_pvalue
CNAG_03543	670.2681987061567	-0.2802085753741327	0.2964053258053982	-0.9453560748706002	0.34447711933929853	0.8812038064636546	0.4628396192561831
CNAG_03544	1163.5567517227014	-0.06505112551846365	0.15557262604109723	-0.4181399207163814	0.675844818895164	0.9971300521385945	0.17015301120948076
CNAG_03545	124.5971109415463	-0.4294424989362404	0.27447801756601825	-1.5645788422125633	0.11768169307298718	0.5628290994746888	0.9292910920908043
CNAG_03546	10.418050772097347	-0.04390149303360457	0.3538520289742431	-0.12406737686616504	0.9012619280393372	0.9971300521385945	0.04514897442520926
CNAG_03550	246.80136146802062	0.06209847188297992	0.09677307079143412	0.6416916542497128	0.5210734091205353	0.980853741543569	0.2831010887347457
CNAG_03551	14.094166494387794	0.3560356594655157	0.7227764338353297	0.4925944494015301	0.6222991707817915	0.9971300521385945	0.20600077771572578
CNAG_03552	232.39791825822834	0.5864441025871263	0.5428530252584425	1.0802999620531375	0.2800086266124022	0.8222850043796847	0.5528285885418823
CNAG_03553	232.2688038730115	-0.008925444290283134	0.3797119612358658	-0.023505828631874233	0.9812467891947612	0.9975636517163061	0.008221751329268476
CNAG_03554	622.698003803129	-0.07743356629078342	0.38427577137128177	-0.20150520032648173	0.8403035635586055	0.9971300521385945	0.07556379469721124
CNAG_03555	50.74733958563656	-0.24406140707510107	0.3307557531062453	-0.7378901342849923	0.4605812146003253	0.953960541365038	0.3366937792719009
CNAG_03556	37.11799438090485	-0.3427133337770934	0.2172011061011681	-1.5778618255169663	0.11459735663508813	0.5551295824989223	0.940825399925653
CNAG_03557	680.4265126553843	0.09973205531489214	0.15861774441147056	0.6287572407799285	0.5295079974534052	0.9852363999035489	0.27612747611616795
CNAG_03558	314.0072815564489	-0.3922026471118219	0.25822682481644377	-1.5188299952594493	0.12880529364333804	0.5886132670403923	0.8900662879634114
CNAG_03559	251.13351581939523	0.19760113420842176	0.20792322095884821	0.950356257935859	0.3419312621400966	0.8797525298114787	0.4660611906504404
CNAG_03560	195.30072288932382	0.028761327821794788	0.21812718485014268	0.13185576956652303	0.8950983738546858	0.9971300521385945	0.04812923186345581
CNAG_03561	157.1865337018245	-0.7906007123414409	0.36691723495612494	-2.1547113000455784	0.031184432981231344	0.26916761460312694	1.5060621482093264
CNAG_03562	141.51794036668488	-0.09927339762063779	0.4694371523381168	-0.21147324434418677	0.8325180080246442	0.9971300521385945	0.07960636358603
CNAG_03563	262.2771082985226	0.8154883274602642	0.4679000629974803	1.742868599409989	0.08135657012776186	0.45412834875376157	1.0896073689101071
CNAG_03564	173.49592246707218	0.8942871338845363	0.6161817799842393	1.4513365421278934	0.14668617059802913	0.6264715417529017	0.8336108290065877
CNAG_03565	412.48841713519045	0.8252338595395586	0.22271708882169144	3.705301034175449	2.111398168516054e-4	0.007413961340949895	3.675429859499795
CNAG_03566	2656.6206139884257	0.11288354858174472	0.55216991132479	0.20443625461392784	0.8380126013003687	0.9971300521385945	0.07674945078014346
CNAG_03567	254.04006238969833	0.1681598127832542	0.2994244022043546	0.5616102480134085	0.5743815966227319	0.9895665453535123	0.24079948348239166
CNAG_03569	81.06659565982879	0.2282493871564143	0.5757768542392508	0.396419872518131	0.6917953082354358	0.9971300521385945	0.16002238770236007
CNAG_03570	47.70524091089299	0.3711439769616178	0.2331548718513046	1.5918345347650136	0.11142188821390353	0.5487689944953664	0.9530294860315706
CNAG_03572	964.6507145505935	0.8952777160939178	0.4130054752823114	2.1677139158553467	0.03018046001867504	0.2643907925598304	1.5202741448768784
CNAG_03573	98.75110460296112	-0.03291106325367644	0.1908718484828592	-0.1724249202554977	0.8631034820351243	0.9971300521385945	0.06393713130382235
CNAG_03575	115.12929224359291	0.30142680254432186	0.21043848872157034	1.4323748681883832	0.15203656701222565	0.6368058186908858	0.8180519453335964
CNAG_03576	5.720103952743107	0.2052392967457301	0.5015649551236283	0.40919784097583467	0.6823944786966674	0.9971300521385945	0.1659644957345412
CNAG_03577	4341.06401788822	0.11182056135325524	0.22121469278829084	0.505484332635495	0.6132186999051947	0.9971300521385945	0.2123846099464797
CNAG_03578	105.78640816814668	0.2323055817251032	0.13664387063225306	1.7000805133096868	0.08911578214849719	0.4797958793709871	1.0500453768492264
CNAG_03582	244.40983808842722	0.2843221819777509	0.05442185733910828	5.224411585332519	1.747097811736191e-7	1.850012792208776e-5	6.7576827802442185
CNAG_03583	201.474694569088	0.08312787643229848	0.3844073999544479	0.21624941778474893	0.828793334899548	0.9971300521385945	0.08155375015191503
CNAG_03584	337.7120651462501	0.1521421328609275	0.1016045146864238	1.497395399510298	0.1342904046370109	0.6019301396010853	0.871955017577547
CNAG_03586	237.60720699544262	-0.28995652223491936	0.4032499888332307	-0.7190490521125213	0.47211069696871094	0.956500506235263	0.32595615931910726
CNAG_03587	114.89053319640549	-0.4206006376507117	0.26617079141112393	-1.5801908068908186	0.11406317645198441	0.5541262701183501	0.9428545382711642
CNAG_03588	2506.6129775772965	0.299953084971833	0.32157671406507166	0.9327574785503185	0.3509452002786796	0.8831621323017496	0.454760692863503
CNAG_03589	1639.6300761583873	0.030978130241104768	0.3754841640266664	0.0825018288624943	0.9342476640723718	0.9971300521385945	0.02953797935656653
CNAG_03590	475.6382748813546	0.062299023543184485	0.10906269917149926	0.5712220953308731	0.5678491024504556	0.9882344321629601	0.24576705633065993
CNAG_03591	350.31179187835454	0.1106066026525781	0.5645585177292038	0.19591698500531998	0.8446751427804253	0.9971300521385945	0.07331028610874699
CNAG_03592	515.7049578507487	-0.018926198472432813	0.2606439761762197	-0.07261322034021202	0.9421139061837611	0.9971300521385945	0.02589658570348156
CNAG_03595	179.14830531602274	0.2549866589482385	0.27776016397191156	0.9180101829649842	0.3586135347564075	0.889668380373168	0.44537332336531527
CNAG_03596	746.2222123449718	-0.22832025597983374	0.12065261363901467	-1.8923772067048141	0.05844074072420295	0.3792483460127286	1.2332842881108543
CNAG_03597	99.50328223093663	-0.39630772446143087	0.3027324096067721	-1.3091024016100767	0.190499665865182	0.6989800950559494	0.7201057817365768
CNAG_03598	1321.5998151844851	-0.1828123958718417	0.09473448122412345	-1.929734490648056	0.05363974408037658	0.36353438075660865	1.2705133028701292
CNAG_03599	131.18657140560887	0.059937166488091644	0.35376102050154007	0.16942840792102112	0.8654596802144454	0.9971300521385945	0.06275316010315965
CNAG_03600	39.416090273063794	-0.48795160461238113	0.18447730833532902	-2.6450494590121583	0.008167897744160536	0.10769230158010884	2.087889707922224
CNAG_03602	3521.6090768054078	-0.08893774338135377	0.4504263346008676	-0.19745236135041572	0.8434735576230757	0.9971300521385945	0.07392852772617717
CNAG_03603	921.1273368464375	-0.18921383448380774	0.3694373402643861	-0.5121675961298274	0.6085337194101557	0.9971300521385945	0.21571535211257986
CNAG_03604	364.86933483509927	0.1351070521379535	0.16096365668917617	0.8393637105228525	0.40126524148845444	0.9205388940651053	0.39656845821668413
CNAG_03605	220.36664717343666	-0.1579331317009135	0.16677413433624144	-0.9469881665372452	0.3436448088986856	0.8808546644623895	0.46389021216139226
CNAG_03606	5388.825463236032	-0.1734500367224511	0.441970823384352	-0.3924468031492961	0.6947281099998248	0.9971300521385945	0.1581851284024156
CNAG_03607	143.5629644632974	-0.2645178511605396	0.09540940165950802	-2.772450582014305	0.0055635966303692	0.0845392250314172	2.254644364581344
CNAG_03608	96.16023856522588	0.06701292762267819	0.23587983359701237	0.28409773994145704	0.7763354789072782	0.9971300521385945	0.1099505659149468
CNAG_03609	223.80284205514573	0.12556365931100696	0.5393619806965513	0.23280035264786292	0.8159164390741627	0.9971300521385945	0.08835431662264304
CNAG_03610	201.093818590653	-0.2913704151582924	0.21863884455149887	-1.3326562155777497	0.18264464799454816	0.6884805192122697	0.738393049323893
