gene	baseMean	estimate	stderror	statistic	p.value	p.adjusted
CNAG_04877	134.21411831540232	-1.7282900363597935	0.3878434233264929	-4.45615403643158	8.344308664462826e-6	5.236053686950424e-4
CNAG_07869	87.95987644591517	-1.7053783665748594	0.5290590163786266	-3.2234180191239528	0.0012667055147661786	0.029198854672008136
CNAG_03326	183.87365057537906	-1.6957935110379267	0.47698201954664415	-3.5552566795908223	3.776102638910351e-4	0.011928272963954992
CNAG_03658	18.39374259917157	-1.680860056971596	0.3787315784022701	-4.438130203091406	9.074372364187819e-6	5.590638319281895e-4
CNAG_02684	1822.1159722318073	-1.6789089353174609	0.31094505430476577	-5.399374944461783	6.687348011532883e-8	8.715414898876605e-6
CNAG_02323	136.76592046428527	-1.6701821090147344	0.25079811183664646	-6.65946843372801	2.748197188739062e-11	8.097622760036793e-9
CNAG_02225	99.81919663647894	-1.619857072771332	0.5187853425370221	-3.122403313959731	0.001793810146124879	0.03695030808598269
CNAG_02060	12.605222279363494	-1.6032911172211628	0.47206663394175596	-3.3963237431836335	6.829752767696864e-4	0.01851409380267266
CNAG_03644	378.699243304406	-1.53523063653196	0.3574219371963522	-4.295289339469307	1.7446563958627914e-5	9.7715176816216e-4
CNAG_01333	7.651650797899787	-1.5343340277808863	0.42824408973416145	-3.582849278161307	3.398667275384017e-4	0.01091600385084241
CNAG_00637	209.8175026355997	-1.511469831299666	0.3514733276516338	-4.300382738566649	1.7050337390852067e-5	9.710095504017181e-4
CNAG_05565	14.81573093682346	-1.4984637595959005	0.2938970199405111	-5.0986014077284985	3.4217220843992913e-7	3.360726168981739e-5
CNAG_00110	11.11208358444219	-1.489653806714405	0.3488111456557276	-4.270659998303711	1.9489534096979716e-5	0.001082627644059275
CNAG_04756	544.1089497676193	-1.4654129398507518	0.32559957922249344	-4.500659808437235	6.774285118681609e-6	4.4572165290587633e-4
CNAG_05159	663.8869661564294	-1.4231800981305376	0.24204860206218787	-5.879728641295312	4.109396056810331e-9	6.962344269250905e-7
CNAG_03461	206.0658658055094	-1.4145796099750843	0.1643597379143397	-8.606606629613445	7.525514549191622e-18	1.2750103024967906e-14
CNAG_04096	15.310048477884227	-1.384916924132379	0.24624264672734614	-5.624196062454762	1.8637387969141423e-8	2.8067906281526983e-6
CNAG_07896	11.389579546980942	-1.3843488648104467	0.43841218382037367	-3.157642319031997	0.0015905057811078152	0.0344372449794494
CNAG_05313	310.8983908862467	-1.3688012760203192	0.2553311300883661	-5.360886765145318	8.281441818758338e-8	1.0022023429593796e-5
CNAG_05263	75.44873172856126	-1.3665325448544938	0.38713106520576646	-3.52989637793123	4.157224547021581e-4	0.012923628786773052
CNAG_00498	16.28091618712743	-1.3446846368631227	0.36700287119334596	-3.6639621714422783	2.483434792059934e-4	0.008373252530243867
CNAG_04736	207.215840534836	-1.3351372311074323	0.22049235545183793	-6.055254062534	1.4019621649380219e-9	2.639193775495826e-7
CNAG_05396	86.57947757886481	-1.3261197093960277	0.2553791101426105	-5.192749354696581	2.072110653841794e-7	2.1604144463208982e-5
CNAG_00581	2741.6192241379645	-1.3243873846966239	0.3380113590437983	-3.918174195219914	8.92222209764811e-5	0.003709564365384125
CNAG_04735	1961.763028157671	-1.3124386163351023	0.42995891584912665	-3.052474475946533	0.002269630321419264	0.043946527680738146
CNAG_05229	2478.03682775703	-1.3094946253632325	0.2842797896433081	-4.60635849986481	4.0978167875901295e-6	2.923253091526138e-4
CNAG_01742	117.697729598687	-1.3064144995975677	0.4166984362836802	-3.135155752560075	0.0017176289003760115	0.03592707116619824
CNAG_00172	23.23934103011948	-1.3031777575911152	0.3475731314791793	-3.74936276588796	1.7728447970812863e-4	0.006390728292457382
CNAG_04857	65.78973163187187	-1.3022834370738192	0.30225449421585154	-4.3085659998286365	1.643164446146072e-5	9.437055467399941e-4
CNAG_05258	91.50369079074659	-1.274089865874831	0.3452117535103813	-3.6907488024926596	2.23594864564391e-4	0.007770781523860912
CNAG_00126	438.3998298693503	-1.2555776399854328	0.2088402678431738	-6.012143409662232	1.830862423902069e-9	3.265198591259032e-7
CNAG_03172	63.30803932496454	-1.2521373087337606	0.4046484121411821	-3.0943833490118555	0.00197222473673655	0.039807255526964964
CNAG_05742	158.20062150355932	-1.2351773377321837	0.25756770448377003	-4.79554430244967	1.6223370864155035e-6	1.3088783850759365e-4
CNAG_00598	71.69401797766653	-1.2216187618023364	0.3249304227632307	-3.7596318356822556	1.7016358824507188e-4	0.006233506148847849
CNAG_00688	263.55072672865424	-1.2069981440375177	0.37708045502959564	-3.200903488733684	0.0013699741043169426	0.030440375426084982
CNAG_04625	1263.93914209439	-1.1910295530149575	0.19494991633991565	-6.109412998866193	9.99982494895259e-10	1.9362518194014774e-7
CNAG_03727	723.1428119424693	-1.187814717087385	0.18900141587386038	-6.28468687176467	3.2851515811897574e-10	7.181765247007415e-8
CNAG_01334	58.75207527456381	-1.180808154399063	0.27689162103441683	-4.264513855593672	2.0033791275896686e-5	0.0011038130363963563
CNAG_05752	20.194867011896648	-1.1726245004264049	0.25358553877142115	-4.624177333248463	3.760880201969371e-6	2.7405897987899385e-4
CNAG_02194	14.847390285533598	-1.1632038987925348	0.28416999561236683	-4.093338201613827	4.25206817717547e-5	0.0020881352200520405
CNAG_05158	713.2106316911776	-1.160630452645894	0.3859865913816291	-3.0069190965713264	0.0026390998989958936	0.04913510993267904
CNAG_06186	699.1172847631432	-1.1490237159176455	0.30087804288920067	-3.818901854332977	1.3404707807657674e-4	0.005018989216160003
CNAG_03453	21.214526028913372	-1.1403759261525686	0.346410091947049	-3.2919824008097383	9.948383706665333e-4	0.024251869201464375
CNAG_02675	50.692709514854286	-1.1372394079954	0.24666881986046688	-4.610389787564971	4.0191467286279854e-6	2.8976337638204105e-4
CNAG_01777	405.59852781492066	-1.110071952609898	0.3386887516685567	-3.2775577787603134	0.0010470929816897379	0.025434226297173308
CNAG_01983	1587.3064511286732	-1.109937387178413	0.3155885437323755	-3.5170395415863354	4.363887678943995e-4	0.013442757636456115
CNAG_06016	383.52806498201085	-1.106395914505246	0.19691612791769134	-5.618615022572994	1.924942279075713e-8	2.8359421359339363e-6
CNAG_05160	12.006888426402144	-1.1013078530981073	0.33973365511702225	-3.241680170658272	0.001188272958437751	0.02786479529180844
CNAG_02822	305.1660093946951	-1.0770939119260117	0.26200391865660894	-4.110983978593415	3.9397654073458795e-5	0.0020075030199686486
CNAG_02095	33.945518263494634	-1.0725537596946089	0.26144673246191	-4.10237966868019	4.0892253598830975e-5	0.002052791130661315
CNAG_03500	37.35201745771676	-1.0645633885401535	0.32715954789759	-3.253957878904367	0.0011380915318987932	0.027062618637467093
CNAG_07442	3248.0000379632893	-1.0601650165700867	0.1675296869899127	-6.328221795304383	2.4800249853506395e-10	6.002546187757602e-8
CNAG_00883	626.7604879635946	-1.0568102351662312	0.2871353216035505	-3.680530243594954	2.3274945001020925e-4	0.007966378902622162
CNAG_05724	28.664140508574818	-1.0455357699538657	0.33268650278352396	-3.142705704036891	0.001673940482481144	0.03523072872600842
CNAG_05066	153.3469883881103	-1.0349897202019447	0.17454377675369234	-5.9296856035289744	3.0351525976756893e-9	5.274161321653371e-7
CNAG_02297	430.75796547848466	-1.0266840914194162	0.2033899354443687	-5.047860845111656	4.467843687721993e-7	4.147750228998897e-5
CNAG_05699	27.58041807875105	-1.019127685960683	0.3183479920625169	-3.201300813483842	0.0013680862608137381	0.030440375426084982
CNAG_02344	21.72127865751504	-1.0057906466941855	0.2878022058871642	-3.4947287620460976	4.7454374461187353e-4	0.014293257587709631
CNAG_02053	22.95836900048741	-1.0054787064217212	0.2922874268116394	-3.4400340698530565	5.816409629469348e-4	0.016492806719210783
CNAG_03438	2522.6986388786368	-1.0027534051352662	0.2624891442200722	-3.8201709564588806	1.333592075692364e-4	0.005018989216160003
